Taxon	Mnemonic	Scientific name	Common name	Synonym	Other Names	Reviewed	Rank	Lineage	Parent
327392	PRV	Pieris rapae virus				reviewed	Species	Viruses; ssRNA positive-strand viruses, no DNA stage; Nodaviridae; unclassified Nodaviridae	222556
126070	PICV	Pigeon circovirus	PiCV	Columbid circovirus		reviewed	Species	Viruses; ssDNA viruses; Circoviridae; Circovirus; unclassified Circovirus	345249
37700	PPWBP	Pigeon pea witches'-broom phytoplasma			Pigeon pea witches'-broom mycoplasma-like organism	reviewed	Species	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Candidatus Phytoplasma; 16SrIX (Pigeon pea witches'-broom group)	85629
521525	PILDU	Pilema dubia	Cockroach	Pilema reflexa		reviewed	Species	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Orthopteroidea; Dictyoptera; Blattodea; Blaberoidea; Blaberidae; Perisphaeriinae; Pilema	521521
164648	PILBA	Piliocolobus badius	Western red colobus	Procolobus badius	Colobus badius; Procolobus badius (Kerr, 1792); Simia badius; Simia badius Kerr, 1792; red colobus	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Cercopithecidae; Colobinae; Piliocolobus	591932
58971	PILTE	Pillansia templemannii			Pillansia templemanni	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Asparagales; Iridaceae; Pillansia	58970
51662	PIMSR	Pimelobacter sp. (strain R48)			Pimelobacter sp.	reviewed	Species	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Nocardioidaceae; Pimelobacter	2044
90988	PIMPR	Pimephales promelas	Fathead minnow		Pimephales promelas Rafinesque, 1820	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Pimephales	51137
45043	PIMBR	Pimpinella brachycarpa			Pimpinella brachycarpa (Kom.) Nakai	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; asterids; campanulids; Apiales; Apiaceae; Apioideae; apioid superclade; Pimpinella clade; Pimpinella	40958
135724	PIMHY	Pimpla hypochondriaca	Parasitoid wasp			reviewed	Species	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Ichneumonoidea; Ichneumonidae; Pimplinae; Pimplini; Pimpla	67751
50426	PINFU	Pinctada fucata	Pearl oyster			reviewed	Species	Eukaryota; Metazoa; Mollusca; Bivalvia; Pteriomorphia; Pterioida; Pterioidea; Pteriidae; Pinctada	50425
102329	PINMG	Pinctada margaritifera	Black-lipped pearl oyster			reviewed	Species	Eukaryota; Metazoa; Mollusca; Bivalvia; Pteriomorphia; Pterioida; Pterioidea; Pteriidae; Pinctada	50425
104660	PINMA	Pinctada maxima	Silver-lipped pearl oyster	White-lipped pearl oyster		reviewed	Species	Eukaryota; Metazoa; Mollusca; Bivalvia; Pteriomorphia; Pterioida; Pterioidea; Pteriidae; Pinctada	50425
4198	PINCA	Pinguicula caerulea	Blueflower butterwort		Pinguicula caerulea Walter	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; asterids; lamiids; Lamiales; Lentibulariaceae; Pinguicula	4197
94623	PINIM	Pinguinus impennis	Great auk			reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Charadriiformes; Laridae; Pinguinus	94622
111169	PINNO	Pinna nobilis	Pen shell			reviewed	Species	Eukaryota; Metazoa; Mollusca; Bivalvia; Pteriomorphia; Pterioida; Pinnoidea; Pinnidae; Pinna	102330
88733	PINAR	Pinus armandii	Chinese white pine		Armand pine; Pinus armandi; Pinus armandii Franch.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Strobus	139272
71624	PINAT	Pinus attenuata	Knobcone pine		Pinus attenuata Lemmon	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
3338	PINBA	Pinus balfouriana	Foxtail pine		Pinus balfouriana Balf.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Strobus	139272
3353	PINBN	Pinus banksiana	Jack pine	Pinus divaricata	Pinus banksiana Lamb.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
58041	PINCE	Pinus cembra	Swiss stone pine		Arve; Pinus cembra L.; Zirbelkiefer	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Strobus	139272
261911	PINCL	Pinus clausa	Sand pine		Pinus clausa (Chapm. ex Engelm.) Vasey ex Sarg.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
3339	PINCO	Pinus contorta	Shore pine	Lodgepole pine	Pinus contorta Douglas ex Loudon	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
3351	PINCU	Pinus coulteri	Coulter pine	Pinus ponderosa subsp. coulteri	Pinus coulteri D.Don; big-cone pine	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
77912	PINDE	Pinus densiflora	Japanese red pine		Pinus densiflora Siebold & Zucc.; tanyosho pine	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
71631	PINEC	Pinus echinata	Shortleaf pine		Pinus echinata Mill.; southern pine	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
3340	PINED	Pinus edulis	Pinyon pine	Pinus cembroides var. edulis	Pinus edulis Engelm.; pinyon	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Strobus	139272
42064	PINEL	Pinus elliottii	Slash pine		American pitch pine; Pinus elliotti; Pinus elliottii Engelm.; longleaf pitch pine; swamp pine	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
55060	PINEG	Pinus engelmannii	Apache pine		Pinus engelmannii Carriere; Pinus macrophylla Engelm.; non Pinus macrophylla Lindl.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
71633	PINHA	Pinus halepensis	Aleppo pine		Pinus halepensis Mill.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
88728	PINKO	Pinus koraiensis	Korean pine		Pinus koraiensis Siebold & Zucc.; channamu	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Strobus	139272
3342	PINKR	Pinus krempfii	Krempf's pine		Pinus krempfii Lecomte	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Strobus	139272
71638	PINLE	Pinus leiophylla	Chihuahua pine		Pinus leiophylla Schltdl. & Cham.; smooth-leaf pine	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
3344	PINLO	Pinus longaeva	Great Basin bristlecone pine	Pinus aristata var. longaeva	Pinus longaeva D. K. Bailey; western bristlecone pine	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Strobus	139272
29805	PINLU	Pinus luchuensis	Ryukyu island pine		Pinus luchuensis Mayr	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
3345	PINMO	Pinus monticola	Western white pine	Strobus monticola	Pinus monticola Douglas ex D.Don	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Strobus	139272
28528	PINMU	Pinus mugo	Dwarf mountain pine		Pinus mugo Turra; mountain pine; mugo pine	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
46836	PINPA	Pinus palustris	Longleaf pine	Pinus longifolia	Pinus palustris Mill.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
71644	PINPR	Pinus parviflora	Japanese white pine	Pinus pentaphylla var. himekomatsu	Pinus parviflora Siebold & Zucc.; goyo-matsu; hime-ko-matsu	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Strobus	139272
71645	PINPT	Pinus patula	Mexican weeping pine		Pinus patula Schiede ex Schltdl. & Cham.; jelecote pine; pino colorado	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
71647	PINPS	Pinus pinaster	Maritime pine		Pinus laricio Savi, 1798; Pinus maritima; Pinus maritima Lam., nom. illeg.; Pinus pinaster Aiton; cluster pine; non Pinus laricio Poir., 1804	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
3346	PINPI	Pinus pinea	Italian stone pine		Pinus pinea L.; parasol pine; pignolia-nut pine; stone pine	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
55062	PINPO	Pinus ponderosa	Ponderosa pine		Pacific ponderosa pine; Pinus ponderosa P.Lawson & C.Lawson	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
71649	PINPU	Pinus pumila	Japanese stone pine	Dwarf Siberian pine	Pinus pumila (Pall.) Regel; hai-matsu	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Strobus	139272
164241	PINPN	Pinus pungens	Table Mountain pine		Pinus pungens Lamb.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
3347	PINRA	Pinus radiata	Monterey pine	Pinus insignis	Pinus radiata D.Don	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
54921	PINRE	Pinus resinosa	Red pine	Norway pine	Canadian red pine; Pinus resinosa Aiton	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
164242	PINRI	Pinus rigida	Pitch pine		Pinus rigida Mill.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
71650	PINRO	Pinus roxburghii	Chir pine		Pinus roxburghii Sarg.; longleaf Indian pine	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
62752	PINSI	Pinus sibirica	Siberian pine		Pinus cembra var sibirica; Pinus cembra var. sibirica; Pinus cembra var. sibirica (Du Tour) G.Don; Pinus sibirica Du Tour	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Strobus	139272
3348	PINST	Pinus strobus	Eastern white pine		Pinus strobus L.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Strobus	139272
3349	PINSY	Pinus sylvestris	Scots pine		Pinus sylvestris L.; Scotch pine	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
88731	PINTB	Pinus tabuliformis	Chinese pine	Pinus leucosperma	Pinus tabulaeformis; Pinus tabuliformis Carriere; southern Chinese pine	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
3352	PINTA	Pinus taeda	Loblolly pine		Pinus taeda L.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
3350	PINTH	Pinus thunbergii	Japanese black pine	Pinus thunbergiana	Pinus thunbergii Parl.; green pine	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Pinus; Pinus	139271
